# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
Iteration   1: 310157.085 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1001.856 MB/sec
                 ·gc.alloc.rate.norm:              3560.131 B/op
                 ·gc.churn.G1_Eden_Space:          990.439 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3519.563 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         14.000 ms

Iteration   2: 309072.453 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   998.363 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          990.453 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3531.923 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 309167.236 ops/s
                 ·class.load:                      15338.921 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   967.262 MB/sec
                 ·gc.alloc.rate.norm:              3566.536 B/op
                 ·gc.churn.G1_Eden_Space:          1013.907 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3738.529 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 0.83% complete, ETA 04:32:46
# Fork: 2 of 5
# Warmup Iteration   1: 312764.551 ops/s
# Warmup Iteration   2: 310099.247 ops/s
# Warmup Iteration   3: 310834.036 ops/s
# Warmup Iteration   4: 310304.687 ops/s
# Warmup Iteration   5: 310276.551 ops/s
# Warmup Iteration   6: 310574.251 ops/s
# Warmup Iteration   7: 309987.601 ops/s
# Warmup Iteration   8: 310192.913 ops/s
# Warmup Iteration   9: 310586.802 ops/s
# Warmup Iteration  10: 310096.045 ops/s
Iteration   1: 310770.437 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1003.714 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          990.834 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3514.444 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   2: 310808.857 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1003.740 MB/sec
                 ·gc.alloc.rate.norm:              3560.128 B/op
                 ·gc.churn.G1_Eden_Space:          990.223 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3512.187 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.010 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         14.000 ms

Iteration   3: 310625.031 ops/s
                 ·class.load:                      15065.262 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   988.435 MB/sec
                 ·gc.alloc.rate.norm:              3566.505 B/op
                 ·gc.churn.G1_Eden_Space:          1031.459 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3721.743 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.013 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms


# Run progress: 1.67% complete, ETA 04:30:07
# Fork: 3 of 5
# Warmup Iteration   1: 304655.060 ops/s
# Warmup Iteration   2: 309877.776 ops/s
# Warmup Iteration   3: 309879.901 ops/s
# Warmup Iteration   4: 310054.235 ops/s
# Warmup Iteration   5: 310389.852 ops/s
# Warmup Iteration   6: 310675.682 ops/s
# Warmup Iteration   7: 310313.248 ops/s
# Warmup Iteration   8: 310390.780 ops/s
# Warmup Iteration   9: 310099.850 ops/s
# Warmup Iteration  10: 310264.960 ops/s
Iteration   1: 310102.083 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1000.348 MB/sec
                 ·gc.alloc.rate.norm:              3560.130 B/op
                 ·gc.churn.G1_Eden_Space:          989.519 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3521.592 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         14.000 ms

Iteration   2: 310852.172 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1004.133 MB/sec
                 ·gc.alloc.rate.norm:              3560.136 B/op
                 ·gc.churn.G1_Eden_Space:          1048.833 MB/sec
